propietario,owner_name,pasillo_objetivo_1,pasillo_objetivo_2,num_pasillos_objetivo,pasillos_objetivo,bloques_discontinuos_objetivo,amplitud_pasillos_objetivo,picks_2026,lineas_2026,criterio_asignacion,justificacion
12,ESPACIOS CERVECERAS,12,,1,12,1,0,4,9,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=34 ubicaciones; picks_2026=4; lineas_2026=9
14,FUNDACIÓN MAHOU SAN MIGUEL,12,,1,12,1,0,2,5,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=220 ubicaciones; picks_2026=2; lineas_2026=5
21,MIXTA,12,,1,12,1,0,0,0,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=7 ubicaciones; picks_2026=0; lineas_2026=0
32,MCC CENTRO - OESTE,12,,1,12,1,0,1,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=26 ubicaciones; picks_2026=1; lineas_2026=1
37,ALHAMBRA CORPORATIVO,12,,1,12,1,0,0,0,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=18 ubicaciones; picks_2026=0; lineas_2026=0
46,REFEEL,12,,1,12,1,0,1,4,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=2 ubicaciones; picks_2026=1; lineas_2026=4
49,MAHOU - SANDRINE GIRAUD,12,,1,12,1,0,0,0,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=16 ubicaciones; picks_2026=0; lineas_2026=0
51,MCC BILBAO,12,,1,12,1,0,0,0,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=4 ubicaciones; picks_2026=0; lineas_2026=0
64,CORONA,12,,1,12,1,0,2,9,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=74 ubicaciones; picks_2026=2; lineas_2026=9
71,BUDWEISER,12,,1,12,1,0,0,0,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=19 ubicaciones; picks_2026=0; lineas_2026=0
72,LA SALVE,12,,1,12,1,0,0,0,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=17 ubicaciones; picks_2026=0; lineas_2026=0
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,12,,1,12,1,0,2,3,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=31 ubicaciones; picks_2026=2; lineas_2026=3
76,NOMBRE,12,,1,12,1,0,2,2,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=66 ubicaciones; picks_2026=2; lineas_2026=2
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,12,,1,12,1,0,4,24,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=53 ubicaciones; picks_2026=4; lineas_2026=24
80,ABI HORECA,12,,1,12,1,0,0,0,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=27 ubicaciones; picks_2026=0; lineas_2026=0
86,GOLF,12,,1,12,1,0,4,71,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=31 ubicaciones; picks_2026=4; lineas_2026=71
